frame_id,execution_order,baseline_preprocess_ms,baseline_inference_ms,baseline_postprocess_ms,baseline_pipeline_ms,baseline_steering_error,baseline_steering_cmd,baseline_lane_pixels,baseline_valid,rtl_preprocess_ms,rtl_inference_ms,rtl_postprocess_ms,rtl_pipeline_ms,rtl_steering_error,rtl_steering_cmd,rtl_lane_pixels,rtl_valid,steering_error_abs_diff,steering_cmd_abs_diff,rtl_copy_ms,rtl_compute_ms
85,rtl->baseline,5.600666,14.284867,7.584338,27.514394,0.1125,0.0225,56818,True,5.575833,14.371449,6.649524,26.645731,0.609375,0.121875,11955,True,0.496875,0.099375,0.363635,6.111864
86,baseline->rtl,5.68796,14.388972,7.624811,27.754019,0.1125,0.0225,56826,True,5.626795,14.337667,6.652771,26.654996,0.609375,0.121875,11980,True,0.496875,0.099375,0.364014,6.11392
87,rtl->baseline,5.57281,14.338378,7.492329,27.45014,0.109375,0.0211875,56848,True,5.598242,14.423205,6.657941,26.727143,0.609375,0.121875,11947,True,0.5,0.1006875,0.369604,6.114241
88,baseline->rtl,5.626774,14.447398,7.497859,27.624977,0.1125,0.0229125,56745,True,5.598813,14.294514,6.670452,26.603692,0.609375,0.121875,11944,True,0.496875,0.0989625,0.374845,6.120941
89,rtl->baseline,5.620664,14.316185,7.535633,27.517357,0.1125,0.022665,56802,True,5.654887,14.344288,6.663192,26.709712,0.609375,0.121875,11953,True,0.496875,0.09921,0.363254,6.126461
90,baseline->rtl,5.57656,14.462819,7.39309,27.485124,0.1125,0.022566,56868,True,5.625915,14.460629,6.74612,26.872667,0.609375,0.121875,11961,True,0.496875,0.099309,0.462073,6.10885
91,rtl->baseline,5.608133,14.562618,8.058861,28.273237,0.109375,0.0212139,56790,True,5.613904,14.348359,6.655541,26.665438,0.609375,0.121875,11948,True,0.5,0.1006611,0.370525,6.11375
92,baseline->rtl,5.620414,14.47344,7.366677,27.515167,0.109375,0.02161056,56754,True,5.642777,14.378192,6.759181,26.819222,0.609375,0.121875,11944,True,0.5,0.10026444,0.364974,6.10937
93,rtl->baseline,5.592642,14.378361,7.409541,27.424529,0.1125,0.023081724,56810,True,5.652727,14.389572,6.667202,26.757786,0.609375,0.121875,11956,True,0.496875,0.098793276,0.372535,6.120911
94,baseline->rtl,5.641416,14.36701,7.439974,27.503235,0.1125,0.02273269,56758,True,5.733294,14.340518,6.685174,26.79735,0.609375,0.121875,11945,True,0.496875,0.09914231,0.368644,6.141793
95,rtl->baseline,5.590562,14.321296,7.490268,27.4467,0.109375,0.021280576,56749,True,5.604873,14.685729,6.680323,27.017921,0.609375,0.121875,11952,True,0.5,0.100594424,0.389176,6.114041
96,baseline->rtl,5.656368,14.468359,7.644903,27.822916,0.1125,0.02294973,56912,True,5.6839,14.281542,6.65205,26.657217,0.609375,0.121875,11970,True,0.496875,0.09892527,0.370764,6.1103
97,rtl->baseline,5.624525,14.399403,7.517251,27.587124,0.1125,0.022679892,56784,True,5.564479,14.462339,6.658861,26.733174,0.609375,0.121875,11990,True,0.496875,0.099195108,0.370814,6.11386
98,baseline->rtl,5.642506,14.384812,7.438164,27.520278,0.1125,0.022571957,56690,True,5.591182,14.491412,6.662121,26.784629,0.609375,0.121875,11954,True,0.496875,0.099303043,0.365654,6.122851
99,rtl->baseline,5.661698,14.318315,7.460406,27.486244,0.1125,0.022528783,56878,True,5.590671,14.340078,6.663042,26.640375,0.609375,0.121875,11989,True,0.496875,0.099346217,0.368315,6.122632
100,baseline->rtl,5.615084,14.407654,7.421642,27.495855,0.1125,0.022511513,56847,True,5.587691,14.48044,6.670462,26.779578,0.609375,0.121875,11992,True,0.496875,0.099363487,0.376385,6.117571
101,rtl->baseline,5.623774,14.242759,7.483747,27.396914,0.1125,0.022504605,56768,True,5.615114,14.377951,6.679263,26.720742,0.609375,0.121875,11977,True,0.496875,0.099370395,0.393036,6.11046
102,baseline->rtl,5.567396,14.395655,7.448961,27.466537,0.1125,0.022501842,56957,True,5.590658,14.366202,6.912391,26.910436,0.609375,0.121875,11991,True,0.496875,0.099373158,0.369844,6.371961
103,rtl->baseline,5.631572,14.364812,7.386084,27.426123,0.1125,0.022500737,56863,True,5.665106,14.396555,6.699452,26.810176,0.609375,0.121875,11961,True,0.496875,0.099374263,0.410358,6.113347
104,baseline->rtl,5.60835,14.407526,7.470683,27.540873,0.1125,0.022500295,56874,True,5.6086,14.496264,6.648957,26.794194,0.609375,0.121875,11958,True,0.496875,0.099374705,0.362654,6.112757
105,rtl->baseline,5.546325,14.357041,7.43777,27.38652,0.1125,0.022500118,56785,True,5.649684,14.309137,6.666068,26.675404,0.609375,0.121875,11960,True,0.496875,0.099374882,0.374685,6.117077
106,baseline->rtl,5.640303,14.34274,7.463432,27.49949,0.1125,0.022500047,56869,True,5.722161,14.377453,6.651567,26.791335,0.609375,0.121875,11964,True,0.496875,0.099374953,0.362464,6.119028
107,rtl->baseline,5.630822,14.298616,7.527318,27.501391,0.1125,0.022500019,56775,True,5.622611,14.416437,6.651537,26.737419,0.609375,0.121875,11969,True,0.496875,0.099374981,0.365134,6.113457
108,baseline->rtl,5.635373,14.370432,7.518997,27.576157,0.1125,0.022500008,56842,True,5.657255,14.466161,6.661467,26.824848,0.609375,0.121875,11975,True,0.496875,0.099374992,0.368105,6.118278
109,rtl->baseline,5.594849,14.291496,7.524678,27.454406,0.1125,0.022500003,56780,True,5.635553,14.505425,6.645126,26.834218,0.609375,0.121875,11953,True,0.496875,0.099374997,0.368004,6.102036
110,baseline->rtl,5.610681,14.507325,7.514307,27.684697,0.1125,0.022500001,56889,True,5.627532,14.344251,6.662018,26.674384,0.609375,0.121875,11989,True,0.496875,0.099374999,0.366384,6.121888
111,rtl->baseline,5.615811,14.379453,8.429202,28.47085,0.1125,0.0225,56833,True,5.590798,14.371503,6.654657,26.663972,0.609375,0.121875,11974,True,0.496875,0.099375,0.364094,6.117028
112,baseline->rtl,5.578307,14.412196,7.624617,27.667536,0.1125,0.0225,56784,True,5.587838,14.404835,6.644736,26.676444,0.609375,0.121875,11946,True,0.496875,0.099375,0.360023,6.113137
113,rtl->baseline,5.646304,14.3395,7.476553,27.508421,0.1125,0.0225,56744,True,5.619431,14.362062,6.651857,26.681004,0.609375,0.121875,11948,True,0.496875,0.099375,0.363064,6.113767
114,baseline->rtl,5.716921,14.440149,7.513037,27.723301,-0.00625,-0.02475,57011,True,5.645894,14.507315,6.657477,26.848459,0.5078125,0.07921875,11976,True,0.5140625,0.10396875,0.363063,6.119858
115,rtl->baseline,5.577917,14.391244,12.938279,32.949875,-0.00625,-0.0099,57005,True,5.635253,14.414487,6.683509,26.781744,0.5078125,0.092625,11973,True,0.5140625,0.102525,0.374634,6.132659
116,baseline->rtl,5.618511,14.633747,7.686943,27.992066,-0.00625,-0.00396,56944,True,5.60001,14.368122,6.916031,26.922327,0.5078125,0.0979875,11979,True,0.5140625,0.1019475,0.369364,6.372701
117,rtl->baseline,5.575327,14.313738,7.491395,27.426163,-0.034375,-0.0160215,57047,True,5.708709,14.455291,6.676469,26.887744,0.4921875,0.09357,11993,True,0.5265625,0.1095915,0.373065,6.130879
118,baseline->rtl,5.608647,14.383726,7.414043,27.458911,-0.034375,-0.0105336,57032,True,5.75705,14.386636,6.675726,26.858116,0.4921875,0.0964905,11999,True,0.5265625,0.1070241,0.391706,6.108923
119,rtl->baseline,5.585535,14.385666,7.49058,27.505115,-0.034375,-0.00833844,57081,True,5.594746,14.395747,6.650053,26.68983,0.4921875,0.0976587,11993,True,0.5265625,0.10599714,0.362184,6.114734
120,baseline->rtl,5.684464,14.330581,7.493421,27.561301,-0.053125,-0.015335376,57072,True,5.678944,14.370735,6.648493,26.736574,0.46875,0.08828223,12018,True,0.521875,0.103617606,0.368914,6.105963
121,rtl->baseline,5.680784,14.267075,7.506192,27.499365,-0.053125,-0.01250915,56862,True,5.63652,14.342462,6.647663,26.673989,0.46875,0.091562892,11965,True,0.521875,0.104072042,0.371414,6.102942
122,baseline->rtl,10.084069,14.576693,8.818543,33.532531,-0.053125,-0.01137866,57116,True,5.693495,14.303438,6.657504,26.695711,0.46875,0.092875157,12020,True,0.521875,0.104253817,0.372194,6.113033
123,rtl->baseline,5.650861,14.312259,9.626397,29.634041,-0.153125,-0.052926464,57028,True,5.618007,14.400237,6.659034,26.724573,0.3671875,0.050743813,11976,True,0.5203125,0.103670277,0.377215,6.110454
124,baseline->rtl,5.589676,14.395996,7.655816,27.695853,-0.153125,-0.039545586,57054,True,5.589255,14.374545,6.653183,26.655437,0.3671875,0.064360025,11980,True,0.5203125,0.103905611,0.369434,6.110023
