frame_id,execution_order,baseline_preprocess_ms,baseline_inference_ms,baseline_postprocess_ms,baseline_pipeline_ms,baseline_steering_error,baseline_steering_cmd,baseline_lane_pixels,baseline_valid,baseline_reference_x,baseline_reference_y,baseline_raw_error_q15,rtl_preprocess_ms,rtl_inference_ms,rtl_postprocess_ms,rtl_pipeline_ms,rtl_steering_error,rtl_steering_cmd,rtl_lane_pixels,rtl_valid,rtl_reference_x,rtl_reference_y,rtl_raw_error_q15,steering_error_abs_diff,steering_cmd_abs_diff,rtl_copy_ms,rtl_compute_ms
32,baseline_overlay_pass->release->rtl_overlay_pass,5.705572,14.375483,3.279393,23.417931,0.109375,0.021875,11907,True,142,179,3584,5.706065,14.935762,0.862873,21.55088,0.109375,0.021875,11907,True,142,,3584,0.0,0.0,0.360586,0.325455
33,baseline_overlay_pass->release->rtl_overlay_pass,5.596141,14.351324,6.999244,27.001409,0.109375,0.021875,11910,True,142,179,3584,5.640304,14.79139,0.875483,21.352777,0.109375,0.021875,11910,True,142,,3584,0.0,0.0,0.354936,0.341935
34,baseline_overlay_pass->release->rtl_overlay_pass,6.309092,14.338603,3.05418,23.757826,0.109375,0.021875,11912,True,142,179,3584,5.646834,14.76797,0.965494,21.428888,0.109375,0.021875,11912,True,142,,3584,0.0,0.0,0.420736,0.351285
35,baseline_overlay_pass->release->rtl_overlay_pass,5.652312,14.340953,2.891847,22.933252,0.109375,0.021875,11904,True,142,179,3584,5.636994,14.472365,0.973015,21.134904,0.109375,0.021875,11904,True,142,,3584,0.0,0.0,0.431187,0.341135
36,baseline_overlay_pass->release->rtl_overlay_pass,5.812715,14.421594,2.911617,23.195047,0.109375,0.021875,11917,True,142,179,3584,5.609534,14.505355,0.922254,21.082943,0.109375,0.021875,11917,True,142,,3584,0.0,0.0,0.398365,0.336585
37,baseline_overlay_pass->release->rtl_overlay_pass,5.952157,14.76948,2.861767,23.632974,0.109375,0.021875,11892,True,142,179,3584,5.611283,14.342693,0.900234,20.89803,0.109375,0.021875,11892,True,142,,3584,0.0,0.0,0.380985,0.335625
38,baseline_overlay_pass->release->rtl_overlay_pass,5.848015,15.306979,2.809555,24.014471,0.109375,0.021875,11916,True,142,179,3584,5.599423,14.361903,0.906074,20.911191,0.109375,0.021875,11916,True,142,,3584,0.0,0.0,0.385866,0.337585
39,baseline_overlay_pass->release->rtl_overlay_pass,5.665002,15.595353,2.827156,24.135392,0.109375,0.021875,11914,True,142,179,3584,5.669114,14.400424,0.902363,21.016472,0.109375,0.021875,11914,True,142,,3584,0.0,0.0,0.383616,0.334785
40,baseline_overlay_pass->release->rtl_overlay_pass,5.609091,14.855821,3.320304,23.840717,0.109375,0.021875,11898,True,142,179,3584,6.440136,14.403454,0.893754,21.782114,0.109375,0.021875,11898,True,142,,3584,0.0,0.0,0.375736,0.333695
41,baseline_overlay_pass->release->rtl_overlay_pass,5.623481,14.525876,3.300203,23.502021,0.109375,0.021875,11894,True,142,179,3584,7.775155,14.592937,3.162447,25.577649,0.109375,0.021875,11894,True,142,,3584,0.0,0.0,2.564868,0.345035
42,baseline_overlay_pass->release->rtl_overlay_pass,5.601161,14.346923,2.884137,22.879322,0.109375,0.021875,11924,True,142,179,3584,6.08639,14.432424,0.904364,21.468529,0.109375,0.021875,11924,True,142,,3584,0.0,0.0,0.384346,0.333605
43,baseline_overlay_pass->release->rtl_overlay_pass,5.601021,14.282962,2.937748,22.868031,0.109375,0.021875,11912,True,142,179,3584,5.814066,15.151755,0.851052,21.863834,0.109375,0.021875,11912,True,142,,3584,0.0,0.0,0.345695,0.329334
44,baseline_overlay_pass->release->rtl_overlay_pass,5.854975,14.323633,2.891547,23.117115,0.109375,0.021875,11912,True,142,179,3584,5.707025,15.124415,0.850922,21.725522,0.109375,0.021875,11912,True,142,,3584,0.0,0.0,0.341325,0.331365
45,baseline_overlay_pass->release->rtl_overlay_pass,5.891065,15.660394,2.842026,24.444978,0.109375,0.021875,11909,True,142,179,3584,5.678504,14.698838,0.874313,21.345967,0.109375,0.021875,11909,True,142,,3584,0.0,0.0,0.357045,0.339055
46,baseline_overlay_pass->release->rtl_overlay_pass,9.047867,14.931433,3.243413,27.278353,0.109375,0.021875,11908,True,142,179,3584,5.732895,14.913121,0.871772,21.565251,0.109375,0.021875,11908,True,142,,3584,0.0,0.0,0.354435,0.337745
47,baseline_overlay_pass->release->rtl_overlay_pass,5.931056,15.602813,2.860787,24.444137,0.109375,0.021875,11925,True,142,179,3584,5.697075,14.78996,0.928004,21.461419,0.109375,0.021875,11925,True,142,,3584,0.0,0.0,0.393586,0.347095
48,baseline_overlay_pass->release->rtl_overlay_pass,6.064588,15.638814,2.909517,24.66253,0.109375,0.021875,11918,True,142,179,3584,5.646434,14.377114,3.092706,23.164334,0.109375,0.021875,11918,True,142,,3584,0.0,0.0,2.528668,0.335645
49,baseline_overlay_pass->release->rtl_overlay_pass,5.630051,14.8238,3.191502,23.702565,0.109375,0.021875,11927,True,142,179,3584,5.714885,14.657377,0.905623,21.325796,0.109375,0.021875,11927,True,142,,3584,0.0,0.0,0.382745,0.335405
50,baseline_overlay_pass->release->rtl_overlay_pass,5.623652,15.748576,3.415656,24.842824,0.109375,0.021875,11901,True,142,179,3584,6.02858,14.645437,0.903954,21.625191,0.109375,0.021875,11901,True,142,,3584,0.0,0.0,0.379615,0.338345
51,baseline_overlay_pass->release->rtl_overlay_pass,5.659752,14.337943,2.956258,23.004673,0.109375,0.021875,11912,True,142,179,3584,5.766755,14.312392,0.996195,21.120243,0.109375,0.021875,11912,True,142,,3584,0.0,0.0,0.372566,0.337275
52,baseline_overlay_pass->release->rtl_overlay_pass,5.613441,14.389753,2.902517,22.949353,0.109375,0.021875,11913,True,142,179,3584,5.856077,14.362193,0.916004,21.180664,0.109375,0.021875,11913,True,142,,3584,0.0,0.0,0.389995,0.339025
53,baseline_overlay_pass->release->rtl_overlay_pass,5.968437,14.222671,2.894898,23.134156,0.109375,0.021875,11918,True,142,179,3584,6.11152,14.629997,0.899003,21.688091,0.109375,0.021875,11918,True,142,,3584,0.0,0.0,0.372986,0.340975
54,baseline_overlay_pass->release->rtl_overlay_pass,5.839025,14.929262,2.857457,23.668885,0.109375,0.021875,11922,True,142,179,3584,6.262633,14.881271,0.896193,22.091787,0.109375,0.021875,11922,True,142,,3584,0.0,0.0,0.382076,0.333335
55,baseline_overlay_pass->release->rtl_overlay_pass,5.831114,15.155316,2.858207,23.957199,0.109375,0.021875,11919,True,142,179,3584,5.762176,15.355738,0.858133,22.019667,0.109375,0.021875,11919,True,142,,3584,0.0,0.0,0.352766,0.330485
56,baseline_overlay_pass->release->rtl_overlay_pass,5.657002,15.188877,2.910457,23.804256,0.109375,0.021875,11920,True,142,179,3584,5.672074,14.693647,0.926713,21.339116,0.109375,0.021875,11920,True,142,,3584,0.0,0.0,0.404856,0.335835
57,baseline_overlay_pass->release->rtl_overlay_pass,5.622862,15.453811,2.882777,24.00881,0.109375,0.021875,11926,True,142,179,3584,5.691384,14.86548,0.871143,21.473778,0.109375,0.021875,11926,True,142,,3584,0.0,0.0,0.352796,0.339115
58,baseline_overlay_pass->release->rtl_overlay_pass,5.738253,14.79621,3.355694,23.945998,0.109375,0.021875,11928,True,142,179,3584,5.649714,14.549266,1.028825,21.276565,0.109375,0.021875,11928,True,142,,3584,0.0,0.0,0.488448,0.334815
59,baseline_overlay_pass->release->rtl_overlay_pass,5.615611,14.552937,3.365895,23.590473,0.109375,0.021875,11934,True,142,179,3584,5.725685,14.377004,0.893633,21.042872,0.109375,0.021875,11934,True,142,,3584,0.0,0.0,0.373516,0.335805
60,baseline_overlay_pass->release->rtl_overlay_pass,5.652031,14.283562,2.898937,22.881801,0.109375,0.021875,11901,True,142,179,3584,5.671234,14.500515,0.897223,21.117503,0.109375,0.021875,11901,True,142,,3584,0.0,0.0,0.376125,0.336195
61,baseline_overlay_pass->release->rtl_overlay_pass,5.846855,14.756939,2.861686,23.513452,0.109375,0.021875,11892,True,142,179,3584,5.713395,14.307693,0.907183,20.978441,0.109375,0.021875,11892,True,142,,3584,0.0,0.0,0.379776,0.340065
62,baseline_overlay_pass->release->rtl_overlay_pass,6.17449,14.426594,3.001599,23.651254,0.109375,0.021875,11893,True,142,179,3584,5.603553,14.383833,0.902954,20.934091,0.109375,0.021875,11893,True,142,,3584,0.0,0.0,0.382336,0.335185
63,baseline_overlay_pass->release->rtl_overlay_pass,5.877935,15.40548,2.807866,24.135612,0.109375,0.021875,11911,True,142,179,3584,5.782706,14.364873,0.906823,21.100233,0.109375,0.021875,11911,True,142,,3584,0.0,0.0,0.385326,0.334185
64,baseline_overlay_pass->release->rtl_overlay_pass,5.775783,15.694395,2.884527,24.402497,0.109375,0.021875,11921,True,142,179,3584,6.097611,14.766929,1.074086,21.989006,0.109375,0.021875,11921,True,142,,3584,0.0,0.0,0.482928,0.375725
65,baseline_overlay_pass->release->rtl_overlay_pass,5.631351,15.109745,3.351834,24.144412,0.109375,0.021875,11916,True,142,179,3584,5.749265,14.944032,0.966465,21.710532,0.109375,0.021875,11916,True,142,,3584,0.0,0.0,0.449377,0.330485
66,baseline_overlay_pass->release->rtl_overlay_pass,5.620901,14.735479,3.414196,23.824007,0.109375,0.021875,11888,True,142,179,3584,6.359545,16.736918,1.110377,24.26228,0.109375,0.021875,11888,True,142,,3584,0.0,0.0,0.380725,0.332935
67,baseline_overlay_pass->release->rtl_overlay_pass,6.082579,14.309152,2.884827,23.327389,0.109375,0.021875,11897,True,142,179,3584,6.493416,16.049228,0.898043,23.504128,0.109375,0.021875,11897,True,142,,3584,0.0,0.0,0.384256,0.330564
68,baseline_overlay_pass->release->rtl_overlay_pass,5.759183,14.574906,2.879726,23.260938,0.109375,0.021875,11888,True,142,179,3584,6.348764,15.192646,0.843072,22.436812,0.109375,0.021875,11888,True,142,,3584,0.0,0.0,0.335915,0.332964
69,baseline_overlay_pass->release->rtl_overlay_pass,6.091829,14.363053,2.867417,23.36912,0.109375,0.021875,11913,True,142,179,3584,7.679884,14.605296,0.891233,23.221774,0.109375,0.021875,11913,True,142,,3584,0.0,0.0,0.370755,0.335125
70,baseline_overlay_pass->release->rtl_overlay_pass,6.283592,15.239047,2.798456,24.372256,0.109375,0.021875,11907,True,142,179,3584,6.159301,15.901216,0.854432,22.96621,0.109375,0.021875,11907,True,142,,3584,0.0,0.0,0.344055,0.333145
71,baseline_overlay_pass->release->rtl_overlay_pass,5.646622,15.41514,2.881176,23.990669,0.109375,0.021875,11891,True,142,179,3584,5.669864,15.108004,0.880983,21.706072,0.109375,0.021875,11891,True,142,,3584,0.0,0.0,0.358026,0.343406
